Folder,Label,Filename,Hue_Mean,Hue_Std,Saturation_Mean,Aspect_Ratio,H_hist_bin_0,H_hist_bin_1,H_hist_bin_2,H_hist_bin_3,H_hist_bin_4,H_hist_bin_5,H_hist_bin_6,H_hist_bin_7,S_hist_bin_0,S_hist_bin_1,S_hist_bin_2,S_hist_bin_3,S_hist_bin_4,S_hist_bin_5,S_hist_bin_6,S_hist_bin_7,V_hist_bin_0,V_hist_bin_1,V_hist_bin_2,V_hist_bin_3,V_hist_bin_4,V_hist_bin_5,V_hist_bin_6,V_hist_bin_7,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation,area,perimeter,eccentricity,solidity,extent,major_axis_length,minor_axis_length,edge_density
Chaunsa (Summer Bahisht),2,IMG_20210704_191331.png,40.73084677419355,33.277007187430755,58.7317763666216,1.4850299401197604,0.0015663547674193,0.8244630694389343,0.5542021989822388,0.1145307123661041,0.0005748090916313,0.0007616220391355,0.0,0.0,0.0019923092331737,0.0833324566483497,0.8191387057304382,0.5598987936973572,0.0925749689340591,0.0025915000587701,2.995953764184378e-05,0.0,0.0070404419675469,0.0072643924504518,0.2286534011363983,0.9502636790275574,0.2067902386188507,0.0393033027648925,0.0175241213291883,0.0003919132577721,66.79729026794897,0.592188970475399,0.3694400712217014,0.9869158735626676,56.0,5.82842712474619,0.860475726916984,0.0005511539786427,0.0004482653731008,705.6954401633167,359.5457832077837,0.0732936827082955
Chaunsa (Black),1,IMG_20210705_093545.png,23.940926884016317,25.6346156064918,62.43602419862582,1.3414634146341464,0.0016787962522357,0.99783593416214,0.0377334803342819,0.0538228824734687,0.0,0.0,0.0,0.0,0.0847861766815185,0.1704161018133163,0.1708477735519409,0.4853866398334503,0.8194493055343628,0.1657460927963256,0.003394586732611,9.810944175114857e-05,0.0063277343288064,0.1369156837463379,0.5916162729263306,0.7761244177818298,0.1609359681606292,0.053077682852745,0.0108449840918183,1.7925593056133948e-05,57.08803747956507,0.6976134206782886,0.4677044551082223,0.988184332042474,34.0,1.0,0.7977961818415796,0.0003676947700826,0.0003076923076923,597.3962298219683,360.1864578060725,0.077230556936876
Anwar Ratool,0,IMG_20210630_104731.png,25.03089861751152,33.0949668876382,61.48925691244239,1.417142857142857,0.6874726414680481,0.7213718295097351,0.0,0.0195172969251871,0.0669164508581161,0.0463180169463157,0.0,0.0,0.2462041974067688,0.0904866829514503,0.3932876884937286,0.819047212600708,0.3170534372329712,0.071423627436161,0.0076108616776764,0.0001256510149687,0.005994139239192,0.0027536880224943,0.0059524164535105,0.2741727530956268,0.9245020747184752,0.2629772126674652,0.0298038050532341,0.0009874335955828,84.8250505050505,0.6274663162039603,0.3738959755735961,0.9910229233156608,30.0,3.0,0.7485434439603365,0.0002824140755175,0.0002232674446296,638.126429725069,423.13254256228674,0.0529651355441192
Anwar Ratool,0,IMG_20210630_104417.png,24.05836031004687,31.21539970719481,59.21260121415804,0.8915989159891599,0.294511616230011,0.9528745412826538,3.833039954770357e-05,0.0350723154842853,0.0608686730265617,0.0189160518348217,0.0,0.0,0.2553745806217193,0.115446887910366,0.3908485472202301,0.7847244143486023,0.37332484126091,0.1111387312412262,0.0340577028691768,0.0041917175985872,0.0069221910089254,0.0045376233756542,0.0085890730842947,0.2755680382251739,0.8109844326972961,0.5154370069503784,0.0234289541840553,0.0001389068493153,123.86853063652586,0.6070959615484776,0.4107391470437075,0.9876675887337588,29.0,0.0,0.6032373569807441,0.0004134116439527,0.000345361438609,478.3707844736916,381.5302238432773,0.0617214371630804
Dosehri,4,IMG_20210629_184633.png,19.222137096774198,26.518390539975588,54.476370967741936,1.653333333333333,0.067044548690319,0.9972776770591736,0.0013476292369887,0.0026631718501448,0.0104280831292271,0.0287173353135585,0.0,0.0,0.2095285356044769,0.065443217754364,0.2731649577617645,0.4752518832683563,0.7464874982833862,0.3044625520706177,0.037208005785942,0.0024499096907675,0.0105514116585254,0.0082235224545001,0.4881988763809204,0.7660021185874939,0.4158318936824798,0.0372209250926971,0.0205461531877517,0.0001265157188754,73.1553063973064,0.6779866959919568,0.5338458044031484,0.9877306657288668,48.0,15.0,0.7899909947104315,0.00072538233694,0.0005373635600335,470.2273178353445,288.3050421674162,0.1770461744879103
Sindhri,7,IMG_20210702_184019 - Copy.png,18.264218398349588,19.3182257051641,69.96751922355588,1.441860465116279,0.0791434720158577,0.9968416690826416,0.0027012284845113,0.0058568692766129,0.000757353787776,0.0009214471210725,0.0,0.0,0.1661828756332397,0.0537594072520732,0.2897308766841888,0.3454082906246185,0.4836428463459015,0.6139861345291138,0.3939890265464782,0.0112067265436053,0.0074913720600306,0.0053170472383499,0.1488955914974212,0.8169798254966736,0.5563531517982483,0.0244109109044075,0.012844962067902,5.481491825776175e-05,64.1345665961945,0.6796874507678315,0.4934854483504161,0.990219472241468,32.0,1.0,0.7400735463934335,0.0004000600090013,0.0003135625606302,539.4382717463347,362.786233166761,0.0765005684755619
Langra,6,IMG_20210702_075420.png,23.55262834382376,27.13478965867918,33.850572875688435,1.5121951219512195,0.0486668422818183,0.9963077902793884,0.0009168008109554,0.0704153925180435,0.006506738718599,0.0009422674775123,0.0,0.0,0.2159012705087661,0.579605221748352,0.767259955406189,0.1695383638143539,0.0036586769856512,0.0,0.0,0.0,0.00717832474038,0.0046108947135508,0.021307922899723,0.5562765002250671,0.8214378952980042,0.1233588978648185,0.0072132558561861,0.0,63.31571815718158,0.7256355175128872,0.4553595578665383,0.99254099700706,39.0,3.0,0.7330696479969804,0.0004443836740274,0.0003314353701028,579.6609225933747,394.2584511761112,0.0509690559770016
Chaunsa (Black),1,IMG_20210705_092303.png,22.12035008390826,26.335973092923798,47.05552512586239,1.4335260115606936,0.0537949912250041,0.9960398077964784,0.033913929015398,0.062133565545082,0.0002378452190896,0.0001958725333679,0.0,0.0,0.1642052382230758,0.3020386099815368,0.5316084027290344,0.597484290599823,0.4728637337684631,0.1364340484142303,0.0001883704826468,0.0,0.0081184199079871,0.1452726870775222,0.5186381936073303,0.8345203995704651,0.1069095730781555,0.0389356985688209,0.0217377338558435,0.0013496617320924,57.99551585216323,0.7076086815305276,0.5204246886508873,0.9882637309056566,52.0,14.0,0.5937510908097929,0.0006425861621541,0.0005242199707646,496.1633300888397,399.2372129975071,0.0969062848025464
Chaunsa (Summer Bahisht),2,IMG_20210704_190920.png,27.580246764535445,33.73446791307892,34.10879853196832,1.4850299401197604,0.0026781037449836,0.8965579867362976,0.4078459143638611,0.1727376878261566,6.276805652305484e-05,2.0922685507684943e-05,0.0,0.0,0.0045155324041843,0.2351550310850143,0.9379026293754578,0.2546678483486175,0.0128314672037959,0.0001430259144399,0.0,0.0,0.0075796558521687,0.0040191835723817,0.3589524030685425,0.9155001044273376,0.1654636710882187,0.0723453015089035,0.0177586749196052,0.0034075686708092,56.38109236073308,0.7360973839144689,0.5708876264393485,0.9890426290831312,54.0,16.0,0.5292683416536,0.0007760627748555,0.0006259200445098,429.1671758758232,364.12881756566816,0.0650701751624389
Chaunsa (White),3,IMG_20210705_100903.png,22.64918777151308,24.64110692963065,54.2446506146594,1.4212034383954155,0.0069164778105914,0.998508095741272,0.0074422238394618,0.0536494366824626,0.000338813959388,0.0002687145024538,0.0,0.0,0.0853334665298461,0.242332637310028,0.3184271156787872,0.7852501273155212,0.4629027843475342,0.0412363857030868,0.0,0.0,0.0070363916456699,0.0050682919099926,0.1451342850923538,0.8074781894683838,0.5700870752334595,0.0406334213912487,0.0136547796428203,0.0017242642352357,61.29646030505629,0.6505250874868337,0.470108640056578,0.9906758537009316,36.0,3.0,0.625748484976698,0.0003993964675601,0.0003237410071942,545.2836678714015,425.3348346335051,0.0610134772739014
